http:__abcnews.go.com_Business_wireStory_starbucks-sees-early-promise-croissant-makeover-21652135.tsv,starbucks,goods,company,baked,croissants,sales,made,croissant,warming,stores,people,items,early,customers,change,chain,call,cafes,big,alstead
http:__abcnews.go.com_Business_wireStory_states-fared-unemployment-benefit-claims-21636783.tsv,layoffs,due,manufacturing,fewer,week,states,reason,construction,biggest,warehousing,transportation,increases,decreases,data,agriculture,york,workers,wisconsin,wholesale,unemployment
http:__abcnews.go.com_Business_wireStory_stock-futures-changed-premarket-21621001.tsv,percent,revenue,fell,earnings,company,rose,reported,companies,500,year,tuesday,stocks,stock,quarterly,quarter,profit,investors,coach,climbed,billion
http:__abcnews.go.com_Business_wireStory_stock-futures-slip-china-manufacturing-report-21635625.tsv,percent,fell,sp,reported,investors,earnings,500,points,loss,growth,fourthquarter,companies,china,wednesday,survey,suggested,stocks,sales,rose,results
http:__abcnews.go.com_Business_wireStory_study-climbing-income-ladder-grown-harder-21639859.tsv,percent,economic,top,study,university,united,states,hendren,harder,found,countries,born,wealthy,suggest,saez,rich,ranked,programs,poor,move
http:__abcnews.go.com_Business_wireStory_switzerland-doubles-mortgage-risk-buffer-banks-21632943.tsv,capital,banks,cushion,swiss,risks,residential,property,prices,percent,mortgage,increase,hold,government,year,thursday,switzerlands,sustained,strong,statement,started
http:__abcnews.go.com_Business_wireStory_target-scales-back-health-coverage-21624521.tsv,parttime,health,care,workers,coverage,target,plan,insurance,discounter,ups,total,stop,spouses,scaling,plans,percent,payment,options,offering,minneapolis
http:__abcnews.go.com_Business_wireStory_turkeys-central-bank-intervenes-support-lira-21633672.tsv,lira,central,bank,markets,government,currency,worry,week,weakened,unhealthy,turkish,turkeys,thursday,tayyip,supporting,support,stock,steadily,statement,sold
http:__abcnews.go.com_Business_wireStory_uks-osborne-denies-monetary-policy-failed-21648336.tsv,policy,percent,bank,unemployment,interest,guidance,carney,osborne,inflation,uk,time,remain,record,rates,rate,months,monetary,economic,years,world
http:__abcnews.go.com_Business_wireStory_union-pacific-4q-profit-13-pct-volume-grows-21635063.tsv,share,percent,billion,railroad,union,revenue,pacific,net,income,years,year,volume,thursday,surveyed,strong,strengthen,slowly,shipments,reporting,report
http:__abcnews.go.com_Business_wireStory_united-airlines-4q-profit-140-million-21634757.tsv,united,percent,share,revenue,quarter,cents,million,billion,airlines,rose,paid,loss,fuel,fell,earned,earlier,company,analysts,year,wrote
http:__abcnews.go.com_Business_wireStory_us-home-sales-edged-percent-december-21636530.tsv,sales,percent,million,pace,homes,2013,rose,mortgage,home,december,years,year,rates,prices,limited,level,housing,higher,existing,yun
http:__abcnews.go.com_Business_wireStory_us-rig-count-stable-remains-week-1777-21657002.tsv,rigs,oil,unchanged,gas,exploring,year,wyoming,west,weekly,week,virginia,utah,texas,states,services,rose,rig,report,remained,pennsylvania
http:__abcnews.go.com_Business_wireStory_us-stocks-slide-global-markets-lower-21651302.tsv,points,percent,fell,stocks,investors,global,day,assets,worried,values,turkey,trading,standard,south,signs,sharp,russia,rout,rose,risky
http:__abcnews.go.com_Business_wireStory_us-stocks-slide-global-markets-lower-21652086.tsv,percent,growth,economic,china,united,stocks,states,points,investors,global,friday,fell,drop,dow,500,year,world,trouble,slower,markets
http:__abcnews.go.com_Business_wireStory_us-stocks-slide-worries-earnings-china-21642028.tsv,points,percent,fell,investors,companies,yield,worried,united,treasury,thursday,survey,suggested,stocks,standard,slowdown,sector,rose,results,quarterly,prices
http:__abcnews.go.com_Business_wireStory_us-sues-kbr-connection-army-work-iraq-21644766.tsv,kickbacks,kbr,government,filed,federal,claims,thursday,suing,submitted,subcontractors,services,seeking,root,returned,reimbursement,messages,left,lawsuit,kuwaiti,kellogg
http:__abcnews.go.com_Business_wireStory_us-treasury-introduces-debt-product-21638937.tsv,treasury,security,rate,debt,securities,product,interest,floating,auction,years,week,variable,undersecretary,twoyear,treasurys,rising,resets,rates,quarterly,protected
http:__abcnews.go.com_Business_wireStory_viacoms-redstone-sees-pay-rise-77-pct-362m-21660578.tsv,stock,million,year,salary,company,rose,options,option,percent,executive,redstone,pay,fiscal,executives,equivalents,deferred,bonus,awards,years,viacom
http:__abcnews.go.com_Business_wireStory_wal-marts-sams-club-cut-2300-workers-21660022.tsv,sams,club,workers,clubs,cuts,year,walmart,unit,time,stores,revenue,resources,percent,membership,managers,make,layoffs,generated,eliminating,durling
http:__abcnews.go.com_Entertainment_jersey-shore-star-jwowws-baby-gender-revealed_story?id=21622257.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_justin-bieber-arrested-miami-beach_story?id=21634208.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_justin-bieber-compares-michael-jackson-arrest_story?id=21656151.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_justin-bieber-deported_story?id=21638935.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_khalil-amir-sharieff-drag-racer-arrested-justin-bieber_story?id=21636029.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_meet-justin-biebers-posse_story?id=21643393.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_Movies_slideshow_photos-stars-set-4695411.tsv,news,abc,set,internet,facebook,external,2014,zooey,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,tv,travel,tools,technology,starts,stars,sports
http:__abcnews.go.com_Entertainment_music-reviews-latest-young-giant-mogwai_story?id=21657973.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_slideshow_celebrity-animal-lovers-3437097.tsv,news,abc,rachel,mcadams,internet,facebook,external,2014,yahoo,world,walks,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,steps,sports,slideshows
http:__abcnews.go.com_Entertainment_slideshow_justin-bieber-years-10126698.tsv,news,abc,justin,bieber,internet,facebook,external,appears,2014,years,yahoo,wsvn,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,sports
http:__abcnews.go.com_Entertainment_slideshow_sean-penn-charlize-theron-3520903.tsv,news,abc,rose,internet,facebook,external,amber,2014,yahoo,world,wiz,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,sports,son,slideshows
http:__abcnews.go.com_Entertainment_watch-cast-modern-family-prank-sofia-vergara_story?id=21652867.tsv,news,abc,internet,external,yahoo,world,ventures,typeabcnewsaffiliateid115popupwidth986height878scrollbarsyesresizablenotoolbarnodirectoriesnolocationnomenubarnostatusnoleft0top0,twitter,travel,tools,technology,submit,sports,sites,site,shows,sections,searchtext,searchbutton6gif
http:__abcnews.go.com_Entertainment_wireStory_1000-years-girls-sing-canterbury-cathedral-21636437.tsv,girls,choir,cathedral,canterbury,music,tradition,church,voices,set,newsholme,female,choristers,choirs,boys,years,women,willis,traditions,time,sung
http:__abcnews.go.com_Entertainment_wireStory_abc-news-elizabeth-vargas-alcoholic-21650871.tsv,vargas,shes,news,friday,coanchor,abc,years,worked,wine,weeks,treatment,told,suffered,stress,stephanopoulos,spent,resume,reporter,ready,publicly
http:__abcnews.go.com_Entertainment_wireStory_ap-source-macklemore-cut-rap-grammys-21639091.tsv,rap,macklemore,pop,lewis,year,grammy,committee,awards,album,songs,radio,hiphop,group,shebib,music,members,category,thrift,source,song
http:__abcnews.go.com_Entertainment_wireStory_artist-jasper-johns-testifies-ny-fraud-trial-21644992.tsv,ramnarine,johns,flag,bronze,sell,prosecutors,painting,mold,artist,york,work,witness,wire,whitehaired,wax,unauthorized,trial,thursday,testified,star
http:__abcnews.go.com_Entertainment_wireStory_babe-ruths-1923-series-watch-ny-auction-21647722.tsv,watch,world,ruths,ruth,sports,series,championship,babe,auction,won,sold,schwefel,lost,ivy,decades,costello,1923,york,yankees,todays
http:__abcnews.go.com_Entertainment_wireStory_beyonce-jay-top-billboard-power-100-list-21645530.tsv,list,music,z,share,jay,grainge,ceo,capshaw,beyonce,year,universal,top,spotify,spot,seacrest,scooter,ryan,roc,revenue,red
http:__abcnews.go.com_Entertainment_wireStory_bitstrips-amuses-annoys-comics-viral-21653726.tsv,bitstrips,blackstock,comics,panth,comic,app,people,mobile,facebook,company,billion,service,school,high,create,application,waze,ventures,users,turned
http:__abcnews.go.com_Entertainment_wireStory_black-sails-star-worried-moms-review-21640560.tsv,stephens,flint,treasure,captain,smith,show,series,sails,mother,island,black,worried,wanted,viewer,toby,terrifying,team,stevensons,starzs,shows
http:__abcnews.go.com_Entertainment_wireStory_boehner-tells-leno-lifes-good-president-21647333.tsv,boehner,president,speaker,leno,infighting,goals,asked,yeah,worst,wine,washington,united,tonight,thursday,thing,tactics,states,spend,smoke,show
http:__abcnews.go.com_Entertainment_wireStory_bradley-cooper-coming-broadway-fall-21643592.tsv,man,broadway,role,theater,elephant,cooper,play,people,merrick,york,williamstown,victorian,veteran,ugly,tracing,title,time,thursday,thesis,success
http:__abcnews.go.com_Entertainment_wireStory_bulger-defends-whitey-doc-sundance-21635535.tsv,bulger,film,informant,whitey,fbi,government,defense,berlinger,allowed,trial,tells,people,life,guilty,federal,director,crime,attorney,years,warrants
http:__abcnews.go.com_Entertainment_wireStory_captain-tennille-headed-divorce-21640007.tsv,tennille,prescott,love,kapin,video,marriage,dragon,captain,year,toni,time,tennilles,states,songs,promotional,pop,petition,muskrat,married,duo
http:__abcnews.go.com_Entertainment_wireStory_correction-film-sundance-happy-valley-story-21642818.tsv,sandusky,film,matt,happy,valley,family,paterno,barlev,state,penn,story,movie,satisfied,puzzle,jerry,documentary,attorney,victims,shubin,people
http:__abcnews.go.com_Entertainment_wireStory_country-legends-gather-ahead-grammy-awards-21680777.tsv,kristofferson,haggard,music,grammy,friends,willie,time,shelton,rehearsals,met,merle,lifetime,guys,closest,big,beatles,awards,award,york,years
